"Organisations","Vote*","Votestattype","Description","Description","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2012-13","Authority used in 2012-13"
"NPB","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","5,781,882","5,781,882","6,276,273","6,276,273","5,781,882","5,781,882","6,276,273","6,276,273","6,275,755","6,275,755"
"NRC","60",1,"Dépenses de fonctionnement","Operating expenditures","427,947,524","423,496,228","405,687,149","404,197,392","427,947,524","423,496,228","405,687,149","404,197,392","411,932,718","406,841,780"
"NRC","65",2,"Dépenses en capital","Capital expenditures","53,192,000","49,665,778","42,265,908","35,323,689","53,192,000","49,665,778","42,265,908","35,323,689","42,309,221","42,233,042"
"NRC","70",3,"Subventions et contributions","Grants and contributions","294,887,800","290,897,153","165,275,481","148,000,687","294,887,800","290,897,153","165,275,481","148,000,687","260,465,501","253,239,559"
"NRC","(S)",999,"Honoraires--Agence de recouvrement","Collection agency fees","24,981","24,981","17,810","17,810","24,981","24,981","17,810","17,810","6,331","6,331"
"NRC","(S)",999,"Pertes sur opérations de change","Losses on foreign exchange",0,0,"3,442","3,442",0,0,"3,442","3,442",0,0
"NRC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","593,798","324,899","963,601","602,558","593,798","324,899","963,601","602,558","534,097",0
"NRC","(S)",999,"Dépense des recettes conformément à l'alinéa 5(1)  e) de la  Loi sur le Conseil national de recherches","Spending of revenues pursuant to paragraph 5(1) (e) of the  National Research Council Act","123,255,141","75,208,335","146,959,101","50,591,866","123,255,141","75,208,335","146,959,101","50,591,866","188,037,817","45,672,216"
"NRC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","63,681,019","63,681,019","59,766,138","59,766,138","63,681,019","63,681,019","59,766,138","59,766,138","56,811,984","56,811,984"
"NRTEE","20",1,"Dépenses du programme","Program expenditures","5,065,811","4,726,136","5,218,383","4,914,463","5,065,811","4,726,136","5,218,383","4,914,463","5,367,599","4,782,245"
"NRTEE","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",0,0,25,0,0,0,25,0,"4,688",0
"NRTEE","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","426,005","426,005","449,334","449,334","426,005","426,005","449,334","449,334","661,153","661,153"
"NR","1",1,"Dépenses de fonctionnement","Operating expenditures","860,176,242","819,599,924","844,592,937","755,418,094","860,176,242","819,599,924","844,592,937","755,418,094","860,552,388","765,184,745"
"NR","5",2,"Dépenses en capital","Capital expenditures","26,476,505","21,220,057","23,757,713","21,361,585","26,476,505","21,220,057","23,757,713","21,361,585","31,957,213","29,045,487"
"NR","10",3,"Subventions et contributions","Grants and contributions","1,898,727,745","1,346,549,666","1,716,487,961","1,285,909,038","1,898,727,745","1,346,549,666","1,716,487,961","1,285,909,038","742,018,648","423,456,773"
"NR","(S)",999,"Ministre des Ressources naturelles-Traitement et allocation pour automobile","Minister of Natural Resources-Salary and motor car allowance","77,638","77,638","77,516","77,516","77,638","77,638","77,516","77,516","77,516","77,516"
"NR","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years",0,0,"43,266","43,266",0,0,"43,266","43,266",0,0
"NR","(S)",999,"Honoraires--Agence de recouvrement","Collection agency fees","4,676","4,676","4,614","4,614","4,676","4,676","4,614","4,614","18,714","18,714"
"NR","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","802,028","497,956","748,274","304,742","802,028","497,956","748,274","304,742","763,337","445,738"
"NR","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","66,104,298","66,104,298","64,134,812","64,134,812","66,104,298","66,104,298","64,134,812","64,134,812","63,505,015","63,505,015"
"NR","(S)",999,"Subvention à la Fondation des technologies du développement durable du Canada","Grant to the Canada Foundation for Sustainable Development Technology",0,0,0,0,0,0,0,0,0,0
"NR","(S)",999,"Conformément à l’article 2146 de la Loi sur l’emploi et la croissance, pour la dissolution d’Énergie atomique du Canada limitée","Pursuant to section 2146 of the Job and Economic Growth Act, for the divestiture of Atomic Energy of Canada Limited ",0,0,"1,740,702","1,740,702",0,0,"1,740,702","1,740,702",0,0
"NR","(S)",999,"Contributions à l'appui des frais d'infrastructure se rapportant directement ou indirectement à la prospection, à la mise en valeur, à la production ou au transport de pétrole et de gaz dans la zone extracôtière de Terre-Neuve ","In support of infrastructure costs directly or indirectly relating to the exploration, development, production or transportation of oil and gas in the offshore area of Newfoundland","20,259",0,0,0,"20,259",0,0,0,0,0
"NR","(S)",999,"Contribution à l'Office Canada/Terre-Neuve des hydrocarbures extracôtiers (Loi de mise en oeuvre de l'Accord atlantique Canada Terre-Neuve)","Contribution to the Canada/Newfoundland Offshore Petroleum Board (Canada-Newfoudland Atlantic Accord Implementation Act)","6,306,911","6,306,911","3,447,813","3,447,813","6,306,911","6,306,911","3,447,813","3,447,813","3,346,925","3,346,925"
"NR","(S)",999,"Contribution à l'Office Canada/Nouvelle-Écosse des hydrocarbures extracôtiers (Loi de mise en oeuvre de l'Accord Canada-Nouvelle-Écosse sur les hydrocarbures extracôtiers)","Contribution to the Canada/Nova Scotia Offshore Petroleum Board (Canada-Nova Scotia Offshore Petroleum Ressources Accord Implementation Act)","2,150,940","2,150,940","2,240,265","2,240,265","2,150,940","2,150,940","2,240,265","2,240,265","2,601,684","2,601,684"
"NR","(S)",999,"Paiements au compte des recettes extracôtières de la Nouvelle-Écosse","Payments to the Nova Scotia Offshore Revenue Account","225,172,847","225,172,847","157,288,886","157,288,886","225,172,847","225,172,847","157,288,886","157,288,886","55,120,298","55,120,298"
"NR","(S)",999,"Paiements au Fonds terre-neuvien des recettes provenant des ressources en hydrocarbures extracôtières","Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund","1,227,766,801","1,227,766,801","1,059,753,176","1,059,753,175","1,227,766,801","1,227,766,801","1,059,753,176","1,059,753,175","566,121,270","566,121,270"
"NR","(S)",999,"Paiements de péréquation compensatoires à Terre-Neuve","Newfoundland fiscal equalization offset payments","641,862,000","641,862,000",0,0,"641,862,000","641,862,000",0,0,0,0
"NR","(S)",999,"Paiements de rajustement à l'égard de la part de la Couronne pour les ressources pétrolières extracôtières de la Nouvelle-Écosse","Payments of the Crown Share Adjustment for Nova Scotia Offshore Petroleum Resources",0,0,0,0,0,0,0,0,"57,774,592","57,774,592"
"NR","(S)",999,"Fonds renouvelable de Géomatique Canada","Geomatics Canada Revolving Fund","7,272,670","-284,746","7,557,416","448,096","7,272,670","-284,746","7,557,416","448,096","7,109,320","112,207"
"NSERC","75",1,"Dépenses de fonctionnement","Operating expenditures","46,952,082","43,899,255","46,894,375","44,302,983","46,952,082","43,899,255","46,894,375","44,302,983","50,423,616","47,849,011"
"NSERC","80",3,"Subventions","Grants","1,027,984,786","1,027,176,657","1,037,114,018","1,036,165,486","1,027,984,786","1,027,176,657","1,037,114,018","1,036,165,486","1,024,464,859","1,022,729,219"
"NSERC","(S)",999,"Honoraires Agence de recouvrement","Collection agency fees","1,470","1,470","1,136","1,136","1,470","1,470","1,136","1,136",762,762
"NSERC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",616,0,"1,751",0,616,0,"1,751",0,"2,852",0
"NSERC","(S)",999,"Contributions aux régimes d'avantages sociaux desemployés","Contributions to employee benefit plans","4,866,532","4,866,532","5,267,987","5,267,987","4,866,532","4,866,532","5,267,987","5,267,987","5,402,280","5,402,280"
"NPA","30",1,"Dépenses du programme","Program expenditures","1,215,200","1,043,034","2,963,150","1,995,695","1,215,200","1,043,034","2,963,150","1,995,695","3,163,150","1,735,889"
"NPA","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","81,522","81,522","111,918","111,918","81,522","81,522","111,918","111,918","184,253","184,253"
"OICC","40",1,"Dépenses de fonctionnement","Operating expenditures","64,892,044","63,435,552","63,379,694","58,587,522","64,892,044","63,435,552","63,379,694","58,587,522","56,098,141","45,621,112"
"OICC","45",3,"Contributions","Contributions","7,280,063,546","4,310,126,278","5,956,580,886","4,197,098,781","7,280,063,546","4,310,126,278","5,956,580,886","4,197,098,781","5,153,950,932","3,602,817,891"
"OICC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",125,0,208,0,125,0,208,0,83,0
"OICC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","4,962,414","4,962,414","5,107,996","5,107,996","4,962,414","4,962,414","5,107,996","5,107,996","4,799,284","4,799,284"
"OICC","(S)",999,"Fonds de stimulation de l'infrastructure","Infrastructure Stimulus Fund","1,461,665,573","1,461,665,573","92,041,502","92,041,502","1,461,665,573","1,461,665,573","92,041,502","92,041,502",0,0
"OICC","(S)",999,"Programmes de financement de base de l'infrastructure des provinces et des territoires","Provincial-territorial infrastructure base funding program","158,109,000","158,109,000","157,508,000","157,508,000","158,109,000","158,109,000","157,508,000","157,508,000",0,0
"OICC","(S)",999,"Fonds Chantiers Canada - Volet Collectivités, ajout","Building Canada Fund—Communities Component top-up","219,954,637","219,954,637",0,0,"219,954,637","219,954,637",0,0,0,0
"OICC","(S)",999,"Fonds pour l'infrastructure verte","Green Infrastructure Fund","33,537,280","33,537,280","29,766,472","29,766,472","33,537,280","33,537,280","29,766,472","29,766,472","99,418,105","99,418,105"
"ORL","45",1,"Dépenses du programme","Program expenditures","4,425,296","4,295,842","4,684,418","4,463,147","4,425,296","4,295,842","4,684,418","4,463,147","4,494,261","4,322,227"
"ORL","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",0,0,0,0,0,0,0,0,186,186
"ORL","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","390,093","390,093","398,443","398,443","390,093","390,093","398,443","398,443","422,901","422,901"
"OCOL","20",1,"Dépenses du programme","Program expenditures","19,821,924","19,252,723","21,042,044","20,081,180","19,821,924","19,252,723","21,042,044","20,081,180","19,858,148","18,826,751"
"OCOL","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",192,0,"1,692","1,692",192,0,"1,692","1,692",401,401
"OCOL","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","2,225,010","2,225,010","2,272,164","2,272,164","2,225,010","2,225,010","2,272,164","2,272,164","2,306,864","2,306,864"
"OCSEC","30",1,"Dépenses du programme","Program expenditures","2,121,689","1,473,478","2,214,302","1,793,304","2,121,689","1,473,478","2,214,302","1,793,304","2,391,926","2,154,558"
"OCSEC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","132,481","132,481","149,124","149,124","132,481","132,481","149,124","149,124","131,161","131,161"
"OEC","15",1,"Dépenses du programme","Program expenditures","6,338,000","5,312,166","6,338,000","5,893,494","6,338,000","5,312,166","6,338,000","5,893,494","6,338,000","5,698,200"
"OEC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","703,760","703,760","744,367","744,367","703,760","703,760","744,367","744,367","755,249","755,249"
